t,K,Z
0.677,1.38272,0.566769
0.678,1.38332,0.566985
0.679,1.38392,0.567203
0.68,1.38452,0.567421
0.681,1.38512,0.567639
0.682,1.38572,0.567857
0.683,1.38632,0.568076
0.684,1.38691,0.568296
0.685,1.38751,0.568516
0.686,1.38811,0.568736
0.687,1.38871,0.568957
0.688,1.38931,0.569178
0.689,1.38991,0.5694
0.69,1.39051,0.569622
0.691,1.3911,0.569844
0.692,1.3917,0.570067
0.693,1.3923,0.57029
0.694,1.3929,0.570514
0.695,1.3935,0.570738
0.696,1.3941,0.570963
0.697,1.39469,0.571188
0.698,1.39529,0.571413
0.699,1.39589,0.571639
0.7,1.39649,0.571865
0.701,1.39709,0.572092
0.702,1.39768,0.572319
0.703,1.39828,0.572547
0.704,1.39888,0.572775
0.705,1.39948,0.573003
0.706,1.40007,0.573232
0.707,1.40067,0.573461
0.708,1.40127,0.573691
0.709,1.40187,0.573921
0.71,1.40246,0.574152
0.711,1.40306,0.574383
0.712,1.40366,0.574615
0.713,1.40426,0.574847
0.714,1.40485,0.575079
0.715,1.40545,0.575312
0.716,1.40605,0.575545
0.717,1.40664,0.575779
0.718,1.40724,0.576013
0.719,1.40784,0.576247
0.72,1.40843,0.576483
0.721,1.40903,0.576718
0.722,1.40963,0.576954
0.723,1.41022,0.57719
0.724,1.41082,0.577427
0.725,1.41141,0.577664
0.726,1.41201,0.577902
0.727,1.41261,0.57814
0.728,1.4132,0.578378
0.729,1.4138,0.578617
0.73,1.41439,0.578857
0.731,1.41499,0.579097
0.732,1.41559,0.579337
0.733,1.41618,0.579578
0.734,1.41678,0.579819
0.735,1.41737,0.580061
0.736,1.41797,0.580303
0.737,1.41856,0.580545
0.738,1.41916,0.580788
0.739,1.41975,0.581032
0.74,1.42035,0.581276
0.741,1.42094,0.58152
0.742,1.42154,0.581765
0.743,1.42213,0.58201
0.744,1.42272,0.582256
0.745,1.42332,0.582502
0.746,1.42391,0.582748
0.747,1.42451,0.582995
0.748,1.4251,0.583243
0.749,1.4257,0.583491
0.75,1.42629,0.583739
0.751,1.42688,0.583988
0.752,1.42748,0.584237
0.753,1.42807,0.584487
0.754,1.42866,0.584737
0.755,1.42926,0.584988
0.756,1.42985,0.585239
0.757,1.43044,0.585491
0.758,1.43104,0.585743
0.759,1.43163,0.585995
0.76,1.43222,0.586248
0.761,1.43281,0.586502
0.762,1.43341,0.586755
0.763,1.434,0.58701
0.764,1.43459,0.587264
0.765,1.43518,0.58752
0.766,1.43578,0.587775
0.767,1.43637,0.588031
0.768,1.43696,0.588288
0.769,1.43755,0.588545
0.77,1.43814,0.588803
0.771,1.43873,0.589061
0.772,1.43932,0.589319
0.773,1.43992,0.589578
0.774,1.44051,0.589837
0.775,1.4411,0.590097
0.776,1.44169,0.590357
0.777,1.44228,0.590618
0.778,1.44287,0.590879
0.779,1.44346,0.591141
0.78,1.44405,0.591403
0.781,1.44464,0.591666
0.782,1.44523,0.591929
0.783,1.44582,0.592193
0.784,1.44641,0.592457
0.785,1.447,0.592721
0.786,1.44759,0.592986
