t,K,Z
6.25,1.95609,0.998749
6.26,1.95602,0.9984
6.27,1.95596,0.998054
6.28,1.95591,0.997712
6.29,1.95586,0.997373
6.3,1.95582,0.997037
6.31,1.95578,0.996704
6.32,1.95575,0.996375
6.33,1.95573,0.996049
6.34,1.95571,0.995726
6.35,1.95571,0.995407
6.36,1.9557,0.99509
6.37,1.95571,0.994777
6.38,1.95571,0.994467
6.39,1.95573,0.99416
6.4,1.95575,0.993857
6.41,1.95578,0.993557
6.42,1.95581,0.99326
6.43,1.95585,0.992966
6.44,1.9559,0.992675
6.45,1.95595,0.992387
6.46,1.956,0.992103
6.47,1.95606,0.991822
6.48,1.95613,0.991544
6.49,1.9562,0.991269
6.5,1.95628,0.990997
6.51,1.95636,0.990728
6.52,1.95645,0.990463
6.53,1.95655,0.9902
6.54,1.95665,0.989941
6.55,1.95675,0.989685
6.56,1.95686,0.989432
6.57,1.95697,0.989182
6.58,1.95709,0.988935
6.59,1.95722,0.988691
6.6,1.95735,0.98845
6.61,1.95748,0.988213
6.62,1.95762,0.987978
6.63,1.95776,0.987746
6.64,1.95791,0.987518
6.65,1.95806,0.987292
6.66,1.95822,0.987069
6.67,1.95838,0.98685
6.68,1.95854,0.986633
6.69,1.95871,0.986419
6.7,1.95888,0.986209
6.71,1.95906,0.986001
6.72,1.95924,0.985796
6.73,1.95943,0.985594
6.74,1.95962,0.985395
6.75,1.95981,0.985199
6.76,1.96001,0.985006
6.77,1.96021,0.984816
6.78,1.96042,0.984628
6.79,1.96062,0.984444
6.8,1.96084,0.984262
6.81,1.96105,0.984083
6.82,1.96127,0.983907
6.83,1.96149,0.983734
6.84,1.96172,0.983564
6.85,1.96195,0.983396
6.86,1.96218,0.983231
6.87,1.96242,0.983069
6.88,1.96266,0.98291
6.89,1.9629,0.982754
6.9,1.96315,0.9826
6.91,1.9634,0.982449
6.92,1.96365,0.9823
6.93,1.9639,0.982155
6.94,1.96416,0.982012
6.95,1.96442,0.981871
6.96,1.96468,0.981734
6.97,1.96495,0.981599
6.98,1.96522,0.981466
6.99,1.96549,0.981336
7,1.96576,0.981209
7.01,1.96604,0.981085
7.02,1.96632,0.980962
7.03,1.9666,0.980843
7.04,1.96688,0.980726
7.05,1.96717,0.980612
7.06,1.96746,0.9805
