q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]  , c = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 1.270000 , x = [-10.958904   , 4.313955   , -1.409546   , -5.501627   , 7.757577   ]  , c = [-10.958904   , 4.313955   , -1.409546   , -5.501627   , 7.757577   ]
q = 1.280000 , x = [-11.111111   , 4.354861   , -1.420486   , -5.588194   , 7.868403   ]  , c = [-11.111111   , 4.354861   , -1.420486   , -5.588194   , 7.868403   ]
q = 1.290000 , x = [-11.267606   , 4.396919   , -1.431734   , -5.677201   , 7.982350   ]  , c = [-11.267606   , 4.396919   , -1.431734   , -5.677201   , 7.982350   ]
q = 1.300000 , x = [-11.428571   , 4.440179   , -1.443304   , -5.768750   , 8.099554   ]  , c = [-11.428571   , 4.440179   , -1.443304   , -5.768750   , 8.099554   ]
q = 1.310000 , x = [-11.594203   , 4.484692   , -1.455208   , -5.862953   , 8.220154   ]  , c = [-11.594203   , 4.484692   , -1.455208   , -5.862953   , 8.220154   ]
q = 1.320000 , x = [-11.764706   , 4.530515   , -1.467463   , -5.959926   , 8.344301   ]  , c = [-11.764706   , 4.530515   , -1.467463   , -5.959926   , 8.344301   ]
q = 1.330000 , x = [-11.940299   , 4.577705   , -1.480084   , -6.059795   , 8.472155   ]  , c = [-11.940299   , 4.577705   , -1.480084   , -6.059795   , 8.472155   ]
q = 1.340000 , x = [-12.121212   , 4.626326   , -1.493087   , -6.162689   , 8.603883   ]  , c = [-12.121212   , 4.626326   , -1.493087   , -6.162689   , 8.603883   ]
q = 1.350000 , x = [-12.307692   , 4.676442   , -1.506490   , -6.268750   , 8.739663   ]  , c = [-12.307692   , 4.676442   , -1.506490   , -6.268750   , 8.739663   ]
q = 1.360000 , x = [-12.500000   , 4.728125   , -1.520312   , -6.378125   , 8.879687   ]  , c = [-12.500000   , 4.728125   , -1.520312   , -6.378125   , 8.879687   ]
q = 1.370000 , x = [-12.698413   , 4.781448   , -1.534573   , -6.490972   , 9.024157   ]  , c = [-12.698413   , 4.781448   , -1.534573   , -6.490972   , 9.024157   ]
q = 1.380000 , x = [-12.903226   , 4.836492   , -1.549294   , -6.607460   , 9.173286   ]  , c = [-12.903226   , 4.836492   , -1.549294   , -6.607460   , 9.173286   ]
q = 1.390000 , x = [-13.114754   , 4.893340   , -1.564498   , -6.727766   , 9.327305   ]  , c = [-13.114754   , 4.893340   , -1.564498   , -6.727766   , 9.327305   ]
q = 1.400000 , x = [-13.333333   , 4.952083   , -1.580208   , -6.852083   , 9.486458   ]  , c = [-13.333333   , 4.952083   , -1.580208   , -6.852083   , 9.486458   ]
q = 1.410000 , x = [-13.559322   , 5.012818   , -1.596451   , -6.980614   , 9.651006   ]  , c = [-13.559322   , 5.012818   , -1.596451   , -6.980614   , 9.651006   ]
q = 1.420000 , x = [-13.793103   , 5.075647   , -1.613254   , -7.113578   , 9.821228   ]  , c = [-13.793103   , 5.075647   , -1.613254   , -7.113578   , 9.821228   ]
q = 1.430000 , x = [-14.035088   , 5.140680   , -1.630647   , -7.251206   , 9.997423   ]  , c = [-14.035088   , 5.140680   , -1.630647   , -7.251206   , 9.997423   ]
q = 1.440000 , x = [-14.285714   , 5.208036   , -1.648661   , -7.393750   , 10.179911   ]  , c = [-14.285714   , 5.208036   , -1.648661   , -7.393750   , 10.179911   ]
q = 1.450000 , x = [-14.545455   , 5.277841   , -1.667330   , -7.541477   , 10.369034   ]  , c = [-14.545455   , 5.277841   , -1.667330   , -7.541477   , 10.369034   ]
q = 1.460000 , x = [-14.814815   , 5.350231   , -1.686690   , -7.694676   , 10.565162   ]  , c = [-14.814815   , 5.350231   , -1.686690   , -7.694676   , 10.565162   ]
q = 1.470000 , x = [-15.094340   , 5.425354   , -1.706781   , -7.853656   , 10.768691   ]  , c = [-15.094340   , 5.425354   , -1.706781   , -7.853656   , 10.768691   ]
q = 1.480000 , x = [-15.384615   , 5.503365   , -1.727644   , -8.018750   , 10.980048   ]  , c = [-15.384615   , 5.503365   , -1.727644   , -8.018750   , 10.980048   ]
q = 1.490000 , x = [-15.686275   , 5.584436   , -1.749326   , -8.190319   , 11.199694   ]  , c = [-15.686275   , 5.584436   , -1.749326   , -8.190319   , 11.199694   ]
q = 1.500000 , x = [-16.000000   , 5.668750   , -1.771875   , -8.368750   , 11.428125   ]  , c = [-16.000000   , 5.668750   , -1.771875   , -8.368750   , 11.428125   ]
q = 1.510000 , x = [-16.326531   , 5.756505   , -1.795344   , -8.554464   , 11.665880   ]  , c = [-16.326531   , 5.756505   , -1.795344   , -8.554464   , 11.665880   ]
