q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 1.610000 , x = [6.557377   , -0.393545   , -0.150564   , 4.460758   , -4.996465   ]
q = 1.620000 , x = [6.451613   , -0.365121   , -0.158165   , 4.400605   , -4.919456   ]
q = 1.630000 , x = [6.349206   , -0.337599   , -0.165526   , 4.342361   , -4.844891   ]
q = 1.640000 , x = [6.250000   , -0.310938   , -0.172656   , 4.285938   , -4.772656   ]
q = 1.650000 , x = [6.153846   , -0.285096   , -0.179567   , 4.231250   , -4.702644   ]
q = 1.660000 , x = [6.060606   , -0.260038   , -0.186269   , 4.178220   , -4.634754   ]
q = 1.670000 , x = [5.970149   , -0.235728   , -0.192771   , 4.126772   , -4.568890   ]
q = 1.680000 , x = [5.882353   , -0.212132   , -0.199081   , 4.076838   , -4.504963   ]
q = 1.690000 , x = [5.797101   , -0.189221   , -0.205208   , 4.028351   , -4.442889   ]
q = 1.700000 , x = [5.714286   , -0.166964   , -0.211161   , 3.981250   , -4.382589   ]
q = 1.710000 , x = [5.633803   , -0.145335   , -0.216945   , 3.935475   , -4.323988   ]
q = 1.720000 , x = [5.555556   , -0.124306   , -0.222569   , 3.890972   , -4.267014   ]
q = 1.730000 , x = [5.479452   , -0.103853   , -0.228039   , 3.847688   , -4.211601   ]
q = 1.740000 , x = [5.405405   , -0.083953   , -0.233361   , 3.805574   , -4.157686   ]
q = 1.750000 , x = [5.333333   , -0.064583   , -0.238542   , 3.764583   , -4.105208   ]
q = 1.760000 , x = [5.263158   , -0.045724   , -0.243586   , 3.724671   , -4.054112   ]
q = 1.770000 , x = [5.194805   , -0.027354   , -0.248498   , 3.685795   , -4.004343   ]
q = 1.780000 , x = [5.128205   , -0.009455   , -0.253285   , 3.647917   , -3.955849   ]
q = 1.790000 , x = [5.063291   , 0.007991   , -0.257951   , 3.610997   , -3.908584   ]
q = 1.800000 , x = [5.000000   , 0.025000   , -0.262500   , 3.575000   , -3.862500   ]
q = 1.810000 , x = [4.938272   , 0.041590   , -0.266937   , 3.539892   , -3.817554   ]
q = 1.820000 , x = [4.878049   , 0.057774   , -0.271265   , 3.505640   , -3.773704   ]
q = 1.830000 , x = [4.819277   , 0.073569   , -0.275489   , 3.472214   , -3.730911   ]
q = 1.840000 , x = [4.761905   , 0.088988   , -0.279613   , 3.439583   , -3.689137   ]
q = 1.850000 , x = [4.705882   , 0.104044   , -0.283640   , 3.407721   , -3.648346   ]
q = 1.860000 , x = [4.651163   , 0.118750   , -0.287573   , 3.376599   , -3.608503   ]
q = 1.870000 , x = [4.597701   , 0.133118   , -0.291415   , 3.346193   , -3.569576   ]
q = 1.880000 , x = [4.545455   , 0.147159   , -0.295170   , 3.316477   , -3.531534   ]
q = 1.890000 , x = [4.494382   , 0.160885   , -0.298841   , 3.287430   , -3.494347   ]
q = 1.900000 , x = [4.444444   , 0.174306   , -0.302431   , 3.259028   , -3.457986   ]
q = 1.910000 , x = [4.395604   , 0.187431   , -0.305941   , 3.231250   , -3.422424   ]
q = 1.920000 , x = [4.347826   , 0.200272   , -0.309375   , 3.204076   , -3.387636   ]
q = 1.930000 , x = [4.301075   , 0.212836   , -0.312735   , 3.177487   , -3.353595   ]
q = 1.940000 , x = [4.255319   , 0.225133   , -0.316024   , 3.151463   , -3.320279   ]
q = 1.950000 , x = [4.210526   , 0.237171   , -0.319243   , 3.125987   , -3.287664   ]
q = 1.960000 , x = [4.166667   , 0.248958   , -0.322396   , 3.101042   , -3.255729   ]
q = 1.970000 , x = [4.123711   , 0.260503   , -0.325483   , 3.076611   , -3.224452   ]
q = 1.980000 , x = [4.081633   , 0.271811   , -0.328508   , 3.052679   , -3.193814   ]
q = 1.990000 , x = [4.040404   , 0.282891   , -0.331471   , 3.029230   , -3.163794   ]
q = 2.000000 , x = [4.000000   , 0.293750   , -0.334375   , 3.006250   , -3.134375   ]
q = 2.010000 , x = [3.960396   , 0.304394   , -0.337222   , 2.983725   , -3.105538   ]
q = 2.020000 , x = [3.921569   , 0.314828   , -0.340012   , 2.961642   , -3.077267   ]
q = 2.030000 , x = [3.883495   , 0.325061   , -0.342749   , 2.939988   , -3.049545   ]
q = 2.040000 , x = [3.846154   , 0.335096   , -0.345433   , 2.918750   , -3.022356   ]
q = 2.050000 , x = [3.809524   , 0.344940   , -0.348065   , 2.897917   , -2.995685   ]
